feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
17 - OH progesteron (L79) (17-OHPG),0.750388802488336,0.0,0.750388802488336,0.750388802488336,0.0,7.410750507882013e-27,3.549359453775069e-26
Testosteron wolny (O41) (TEST-F),0.7200622083981337,0.0,0.7200622083981337,0.7200622083981337,0.0,9.362145632384365e-25,4.369001295112704e-24
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",0.7013996889580093,0.0,0.7013996889580093,0.7013996889580093,0.0,1.4469966096235718e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS#)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_B)",0.7006220839813375,0.0,0.7006220839813375,0.7006220839813375,0.0,1.6161260834756772e-23,4.525153033731896e-23
